,album,title,release,url
0,folklore (deluxe version),the 1,2020-07-24,https://genius.com/Taylor-swift-the-1-lyrics
1,folklore (deluxe version),cardigan,2020-07-24,https://genius.com/Taylor-swift-cardigan-lyrics
2,folklore (deluxe version),the last great american dynasty,2020-07-24,https://genius.com/Taylor-swift-the-last-great-american-dynasty-lyrics
3,folklore (deluxe version),exile,2020-07-24,https://genius.com/Taylor-swift-exile-lyrics
4,folklore (deluxe version),my tears ricochet,2020-07-24,https://genius.com/Taylor-swift-my-tears-ricochet-lyrics
5,folklore (deluxe version),mirrorball,2020-07-24,https://genius.com/Taylor-swift-mirrorball-lyrics
6,folklore (deluxe version),seven,2020-07-24,https://genius.com/Taylor-swift-seven-lyrics
7,folklore (deluxe version),august,2020-07-24,https://genius.com/Taylor-swift-august-lyrics
8,folklore (deluxe version),this is me trying,2020-07-24,https://genius.com/Taylor-swift-this-is-me-trying-lyrics
9,folklore (deluxe version),illicit affairs,2020-07-24,https://genius.com/Taylor-swift-illicit-affairs-lyrics
10,folklore (deluxe version),invisible string,2020-07-24,https://genius.com/Taylor-swift-invisible-string-lyrics
11,folklore (deluxe version),mad woman,2020-07-24,https://genius.com/Taylor-swift-mad-woman-lyrics
12,folklore (deluxe version),epiphany,2020-07-24,https://genius.com/Taylor-swift-epiphany-lyrics
13,folklore (deluxe version),betty,2020-07-24,https://genius.com/Taylor-swift-betty-lyrics
14,folklore (deluxe version),peace,2020-07-24,https://genius.com/Taylor-swift-peace-lyrics
15,folklore (deluxe version),hoax,2020-07-24,https://genius.com/Taylor-swift-hoax-lyrics
16,folklore (deluxe version),the lakes,2020-08-18,https://genius.com/Taylor-swift-the-lakes-lyrics
17,Lover,I Forgot That You Existed,2019-08-23,https://genius.com/Taylor-swift-i-forgot-that-you-existed-lyrics
18,Lover,Cruel Summer,2019-08-23,https://genius.com/Taylor-swift-cruel-summer-lyrics
19,Lover,Lover,2019-08-16,https://genius.com/Taylor-swift-lover-lyrics
20,Lover,The Man,2019-08-23,https://genius.com/Taylor-swift-the-man-lyrics
21,Lover,The Archer,2019-07-23,https://genius.com/Taylor-swift-the-archer-lyrics
22,Lover,I Think He Knows,2019-08-23,https://genius.com/Taylor-swift-i-think-he-knows-lyrics
23,Lover,Miss Americana & The Heartbreak Prince,2019-08-23,https://genius.com/Taylor-swift-miss-americana-and-the-heartbreak-prince-lyrics
24,Lover,Paper Rings,2019-08-23,https://genius.com/Taylor-swift-paper-rings-lyrics
25,Lover,Cornelia Street,2019-08-23,https://genius.com/Taylor-swift-cornelia-street-lyrics
26,Lover,Death By A Thousand Cuts,2019-08-23,https://genius.com/Taylor-swift-death-by-a-thousand-cuts-lyrics
27,Lover,London Boy,2019-08-23,https://genius.com/Taylor-swift-london-boy-lyrics
28,Lover,Soon You’ll Get Better,2019-08-23,https://genius.com/Taylor-swift-soon-youll-get-better-lyrics
29,Lover,False God,2019-08-23,https://genius.com/Taylor-swift-false-god-lyrics
